Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
LOC121918986,-3.8898170822495777,0.005934638232227047,,False,2.2266057499252536
LOC121915402,0.0,,,False,
LOC121915399,0.0,,,False,
LOC121918994,0.0,,,False,
LOC121923004,0.0,,,False,
LOC121920484,-0.35363695461470046,0.6963840051420487,,False,0.1571512125092173
LOC121920538,1.0000000000000004,0.1054998154356376,,False,0.9767483001326795
LOC121920517,-2.4003771925727118,0.4186285507052495,,False,0.37817115585659855
LOC121920525,-0.41503749927884376,0.36321746764912255,,False,0.43983327380401
LOC121920554,-1.415037499278844,0.019868051523379407,,False,1.7018447224290616
LOC121920506,0.0,,,False,
LOC121920531,0.3625700793847082,0.5500549180137195,,False,0.2595939479609509
LOC121920546,0.0,,,False,
LOC121920474,0.9068905956085183,0.3213387503691985,,False,0.4930368995441508
XPO1,-0.396036626502303,0.2359083812783443,,False,0.6272566293633401
LOC121920323,0.0,,,False,
USP34,-0.15160286013542112,0.368323530974233,,False,0.4337705346183011
LOC121920106,0.0,,,False,
SANBR,0.8345763907926282,0.060647031166101636,,False,1.2171904541500504
LOC121920437,-4.115477217419936,0.08596020261531204,,False,1.0657025695113498
LOC121920312,-1.6913144818934907,0.007177530817116138,,False,2.1440249341606443
LOC121920428,-0.5849625007211562,0.203110663720055,,False,0.6922672746591972
PUS10,-1.6166713604484935,0.0018163118660243878,,False,2.7408095797879772
REL,-2.202412854191217,0.0022458739336311904,,False,2.6486146253964318
PAPOLG,-2.9886846867721655,0.030101690088300576,,False,1.5214091198408068
BCL11A,-0.8567838087289301,0.06033802252610991,,False,1.2194089271751396
FANCL,-2.022648738945201,0.0007616827908365364,,False,3.1182258565756586
VRK2,-2.2891866936897625,0.010754428107374998,,False,1.9684126793178942
CCDC85A,1.3219280948873622,0.17195941172526652,,False,0.7645740492779174
EFEMP1,-0.09659439823879179,0.8174052919884214,,False,0.08756255493623107
PNPT1,0.08296419899379437,0.7984989777952903,,False,0.09772563549061904
PPP4R3B,-0.3057168443762439,0.18584374573908954,,False,0.7308520497778637
CFAP36,-0.4311081924925242,0.13634115471691563,,False,0.865373032142895
CCDC88A,-0.6672738944513075,0.07593215147588339,,False,1.1195742945660894
LOC121922407,0.9328858041414629,0.2801579619908047,,False,0.5525970305245029
LOC121935223,-0.026255411444803478,0.9291293182208982,,False,0.031923835757513265
MTIF2,-0.19396027229714186,0.3481298219350938,,False,0.4582587720414768
RPS27A,-0.5407767513969866,0.016881157017422915,,False,1.7725977905858439
CLHC1,-1.2479750588830036,0.006752541117104873,,False,2.1705327626566326
LOC121922036,0.0,,,False,
RTN4,-0.4202799204251022,0.3977111080468725,,False,0.4004322790263618
EML6,-1.0125270978761627,0.09769917529047138,,False,1.010109102282344
SPTBN1,-0.5055021653252805,0.05586692852355503,,False,1.2528452048155871
C1H2orf73,-0.5849625007211563,0.40856351691255444,,False,0.3887404167318636
ACYP2,0.9946467655057933,0.09698973692899113,,False,1.0132742186298336
LOC121915663,-0.22239242133644802,0.36321746764912255,,False,0.43983327380401
PSME4,-0.16424354130349528,0.40583411632122934,,False,0.3916514469348518
GPR75,-1.054447784022376,0.19263866675450658,,False,0.7152565361488293
LOC121928926,-2.700439718141092,0.11937430276575584,,False,0.9230891520018654
ERLEC1,-0.2012848130886411,0.23351784150120453,,False,0.6316799323590646
ASB3,-0.2611977473541769,0.4433842430012438,,False,0.3532197449139218
CHAC2,-2.035344615365142,0.007861678128680855,,False,2.10448474095339
LOC121921916,0.0,,,False,
LOC121927330,0.736965594166206,0.36321746764912255,,False,0.43983327380401
LOC121922288,0.0,,,False,
NRXN1,0.571847000930898,0.396875598490237,,False,0.40134560244536915
FSHR,1.5360529002402101,0.09497085504071613,,False,1.0224096519425194
LOC121924165,-0.15426260062717567,0.4469143643797655,,False,0.3497756863541574
PPP1R21,0.12981900317946682,0.6115989289199206,,False,0.21353328382965775
FOXN2,0.953543631228392,0.02262094387728543,,False,1.645489277741934
FBXO11,-0.15006528920355855,0.3737217907186765,,False,0.42745157886169705
MSH6,0.5007746641417903,0.05846256071832556,,False,1.2331221660315679
KCNK12,2.321928094887362,0.19850999442356762,,False,0.702217622836701
LOC121919872,0.22239242133644802,0.36321746764912255,,False,0.43983327380401
MSH2,-0.7996741849759808,0.028865511873734255,,False,1.539620736728761
EPCAM,1.111838640356587,0.006382075706750644,,False,2.195038048336016
LOC121930379,-0.6618708127556072,0.09211056151982708,,False,1.0356905701635584
ACSS1,-0.6389792139095292,0.19949114030437798,,False,0.7000763872071082
VSX1,0.0,,,False,
LOC121921217,-1.1292830169449664,0.05518777712421378,,False,1.2581570982726544
LOC121935147,-1.290788005283976,0.04978732196933876,,False,1.3028812335401254
PYGB,0.5032381032867033,0.14652008877267209,,False,0.8341028268797972
ABHD12,-0.2620087526946602,0.34274522224624604,,False,0.46502859041606676
GINS1,-0.1387062708315927,0.7797490618444204,,False,0.10804513909218637
NINL,-2.849999259466098,0.00017168522822012277,,False,3.765267069885482
EIF4A3,0.5195640669232766,0.053099940811079056,,False,1.2749059630133723
ATL2,-0.12264764173240117,0.6893804963259574,,False,0.16154100763801038
HNRNPLL,-0.28775486717455756,0.17951116464087147,,False,0.7459085354358749
GALM,0.2801627047336268,0.45394836485718926,,False,0.34299354391145065
SRSF7,-0.03605158052346091,0.8715988484856007,,False,0.05968335219434534
GEMIN6,0.8903230691169775,0.007177478060429476,,False,2.1440281263478584
DHX57,0.357697601480357,0.16715857878623594,,False,0.7768713299663108
MORN2,-0.4935394729575613,0.5017595372058123,,False,0.2995043638997839
ARHGEF33,-2.5025003405291835,0.06144963920373717,,False,1.2114806626926782
SOS1,0.20584433203846508,0.4479861609156861,,False,0.3487354019187859
MAP4K3,-0.21416819125218645,0.1462586779320851,,False,0.8348783565879312
TMEM178A,1.7725895038969277,0.015247561735320637,,False,1.8167995995669288
THUMPD2,-0.3399157248189404,0.42604350232686994,,False,0.370546053817644
SLC8A1,-0.15267395839128817,0.8029782690710018,,False,0.09529620783496062
MRPS5,0.7616455539796618,0.021990541049668536,,False,1.6577640852369893
MAL,1.0,0.0755868184216124,,False,1.1215539344709007
MALL,-2.1699250014423126,0.18688393918974133,,False,0.7284280202957677
NPHP1,-0.5888943175546872,0.05282966081080163,,False,1.2771221776619166
MTLN,-0.38489462605616254,0.3714029808431294,,False,0.43015461497823226
LOC121934302,1.4214637684382767,0.006681690837578907,,False,2.1751136230767756
BUB1,-0.9046521234125189,0.1882122830542798,,False,0.7253520371860053
BCL2L11,-0.6638541548200472,0.03191870044605465,,False,1.495954799044261
LOC121922341,-0.9068905956085187,0.04312488194647419,,False,1.365272080789742
ANAPC1,-0.15377125707112782,0.5097741213408451,,False,0.29262221524599374
MERTK,-0.43479268904231994,0.11482377009976424,,False,0.9399681976996866
FBLN7,-4.594946589293778,0.0988814581226126,,False,1.004885138028565
